ligand_id,ligand_class,receptor_id,seed,vina,vinardo,deltavinaXGB,heavy_atom_count,pIC50
Decoy-0011,decoy,1_6,,-5.674,,,,
Decoy-0011,decoy,2_4,,-5.848,,,,
Decoy-0011,decoy,3_2,,-6.096,,,,
Decoy-0011,decoy,1EZM_baseline_crystal,,-4.807,-3.464,,,
Decoy-0012,decoy,0_0,,-8.266,,,,
Decoy-0012,decoy,0_8,,-8.175,,,,
Decoy-0012,decoy,1_6,,-7.706,,,,
Decoy-0012,decoy,2_4,,-7.597,,,,
Decoy-0012,decoy,3_2,,-8.53,,,,
Decoy-0012,decoy,1EZM_baseline_crystal,,-5.874,-3.948,,,
Decoy-0013,decoy,0_0,,-5.491,,,,
Decoy-0013,decoy,0_8,,-5.601,,,,
Decoy-0013,decoy,1_6,,-5.527,,,,
Decoy-0013,decoy,2_4,,-5.599,,,,
Decoy-0013,decoy,3_2,,-5.689,,,,
Decoy-0013,decoy,1EZM_baseline_crystal,,-4.585,-2.972,,,
Decoy-0014,decoy,0_0,,-5.579,,,,
Decoy-0014,decoy,0_8,,-5.325,,,,
Decoy-0014,decoy,1_6,,-5.212,,,,
Decoy-0014,decoy,2_4,,-5.094,,,,
Decoy-0014,decoy,3_2,,-5.569,,,,
Decoy-0014,decoy,1EZM_baseline_crystal,,-4.374,-2.986,,,
Decoy-0015,decoy,0_0,,-6.153,,,,
Decoy-0015,decoy,0_8,,-5.803,,,,
Decoy-0015,decoy,1_6,,-6.134,,,,
Decoy-0015,decoy,2_4,,-6.077,,,,
Decoy-0015,decoy,3_2,,-5.441,,,,
Decoy-0015,decoy,1EZM_baseline_crystal,,-4.87,-2.973,,,
Decoy-0016,decoy,0_0,,-6.283,,,,
Decoy-0016,decoy,0_8,,-6.045,,,,
Decoy-0016,decoy,1_6,,-5.738,,,,
Decoy-0016,decoy,2_4,,-5.974,,,,
Decoy-0016,decoy,3_2,,-5.432,,,,
Decoy-0016,decoy,1EZM_baseline_crystal,,-4.733,-3.158,,,
Decoy-0017,decoy,0_0,,-6.374,,,,
Decoy-0017,decoy,0_8,,-6.15,,,,
Decoy-0017,decoy,1_6,,-6.011,,,,
Decoy-0017,decoy,2_4,,-5.982,,,,
Decoy-0017,decoy,3_2,,-6.971,,,,
Decoy-0017,decoy,1EZM_baseline_crystal,,-5.271,-4.536,,,
Decoy-0018,decoy,0_0,,-5.359,,,,
Decoy-0018,decoy,0_8,,-5.203,,,,
Decoy-0018,decoy,1_6,,-4.935,,,,
Decoy-0018,decoy,2_4,,-4.894,,,,
Decoy-0018,decoy,3_2,,-5.401,,,,
Decoy-0018,decoy,1EZM_baseline_crystal,,-4.15,-2.974,,,
Decoy-0019,decoy,0_0,,-6.019,,,,
Decoy-0019,decoy,0_8,,-6.128,,,,
Decoy-0019,decoy,1_6,,-5.646,,,,
Decoy-0019,decoy,2_4,,-6.043,,,,
Decoy-0019,decoy,3_2,,-6.281,,,,
Decoy-0019,decoy,1EZM_baseline_crystal,,-4.668,-3.226,,,
Engel_11,known_active,1EZM_apo,123,,-4.066,,21.0,6.0
Engel_11,known_active,1EZM_apo,42,,-4.101,,21.0,6.0
Engel_11,known_active,1EZM_apo,456,,-4.104,,21.0,6.0
Engel_11,known_active,1EZM_apo_mean,mean_of_3,-5.7273,-4.090333333333334,,21.0,6.0
Engel_11,known_active,3DBK_holo,123,,-5.252,,21.0,6.0
Engel_11,known_active,3DBK_holo,42,,-5.078,,21.0,6.0
Engel_11,known_active,3DBK_holo,456,,-5.157,,21.0,6.0
Engel_11,known_active,3DBK_holo_mean,mean_of_3,-8.3287,-5.162333333333334,,21.0,6.0
Engel_12,known_active,1EZM_apo,123,,-4.483,,20.0,6.1549
Engel_12,known_active,1EZM_apo,42,,-4.542,,20.0,6.1549
Engel_12,known_active,1EZM_apo,456,,-4.323,,20.0,6.1549
Engel_12,known_active,1EZM_apo_mean,mean_of_3,-5.4767,-4.449333333333333,,20.0,6.1549
Engel_12,known_active,3DBK_holo,123,,-4.779,,20.0,6.1549
Engel_12,known_active,3DBK_holo,42,,-4.804,,20.0,6.1549
Engel_12,known_active,3DBK_holo,456,,-4.797,,20.0,6.1549
Engel_12,known_active,3DBK_holo_mean,mean_of_3,-7.8897,-4.793333333333333,,20.0,6.1549
Engel_13,known_active,1EZM_apo,123,,-4.248,,19.0,6.2218
Engel_13,known_active,1EZM_apo,42,,-4.251,,19.0,6.2218
Engel_13,known_active,1EZM_apo,456,,-4.07,,19.0,6.2218
Engel_13,known_active,1EZM_apo_mean,mean_of_3,-5.319,-4.189666666666667,,19.0,6.2218
Engel_13,known_active,3DBK_holo,123,,-4.648,,19.0,6.2218
Engel_13,known_active,3DBK_holo,42,,-5.088,,19.0,6.2218
Engel_13,known_active,3DBK_holo,456,,-5.058,,19.0,6.2218
Engel_13,known_active,3DBK_holo_mean,mean_of_3,-7.311,-4.931333333333334,,19.0,6.2218
Engel_15,known_active,1EZM_apo,123,,-3.884,,20.0,5.1308
Engel_15,known_active,1EZM_apo,42,,-3.794,,20.0,5.1308
Engel_15,known_active,1EZM_apo,456,,-3.82,,20.0,5.1308
Engel_15,known_active,1EZM_apo_mean,mean_of_3,-5.4603,-3.8326666666666664,,20.0,5.1308
Engel_15,known_active,3DBK_holo,123,,-4.737,,20.0,5.1308
Engel_15,known_active,3DBK_holo,42,,-4.746,,20.0,5.1308
Engel_15,known_active,3DBK_holo,456,,-4.725,,20.0,5.1308
Engel_15,known_active,3DBK_holo_mean,mean_of_3,-7.186,-4.736,,20.0,5.1308
Engel_16,known_active,1EZM_apo,123,,-4.839,,22.0,5.6021
Engel_16,known_active,1EZM_apo,42,,-4.542,,22.0,5.6021
Engel_16,known_active,1EZM_apo,456,,-4.616,,22.0,5.6021
Engel_16,known_active,1EZM_apo_mean,mean_of_3,-6.061,-4.665666666666667,,22.0,5.6021
Engel_16,known_active,3DBK_holo,123,,-5.572,,22.0,5.6021
Engel_16,known_active,3DBK_holo,42,,-5.512,,22.0,5.6021
Engel_16,known_active,3DBK_holo,456,,-5.653,,22.0,5.6021
Engel_16,known_active,3DBK_holo_mean,mean_of_3,-8.2807,-5.579,,22.0,5.6021
Engel_17,known_active,1EZM_apo,123,,-4.12,,19.0,5.9586
Engel_17,known_active,1EZM_apo,42,,-4.1,,19.0,5.9586
Engel_17,known_active,1EZM_apo,456,,-4.018,,19.0,5.9586
Engel_17,known_active,1EZM_apo_mean,mean_of_3,-5.361,-4.0793333333333335,,19.0,5.9586
Engel_17,known_active,3DBK_holo,123,,-5.394,,19.0,5.9586
Engel_17,known_active,3DBK_holo,42,,-5.396,,19.0,5.9586
Engel_17,known_active,3DBK_holo,456,,-5.411,,19.0,5.9586
Engel_17,known_active,3DBK_holo_mean,mean_of_3,-7.664,-5.400333333333333,,19.0,5.9586
Engel_19,known_active,1EZM_apo,123,,-3.531,,21.0,6.6198
Engel_19,known_active,1EZM_apo,42,,-3.408,,21.0,6.6198
Engel_19,known_active,1EZM_apo,456,,-3.39,,21.0,6.6198
Engel_19,known_active,1EZM_apo_mean,mean_of_3,-5.6747,-3.443,,21.0,6.6198
Engel_19,known_active,3DBK_holo,123,,-5.207,,21.0,6.6198
